,Gm21317,Xkrx
,Gm21330,Cenpi
,Gm21333,Btk
,Gm21340,Gla
,Gm21344,4930513O06Rik
,Gm21350,Serpina7
,Gm21366,Col4a6
,Gm21379,Col4a5
,Gm21380,Acsl4
,Gm21387,Chrdl1
,Gm21394,Pak3
,Gm21396,Dcx
,Gm21405,Il13ra2
,Gm21409,Lrch2
,Gm21412,Cdkl5
,Gm21413,Rs1
,Gm21419,Phka2
,Gm21425,Slc7a3
,Gm21427,Adgrg2
,Gm21428,Pdha1
,Gm21435,Nlgn3
,Gm21440,Map3k15
,Gm21443,Il2rg
,Gm21450,Rps6ka3
,Gm21454,Zmym3
,Gm21462,Nono
,Gm21469,Itgb1bp2
,Gm21470,Taf1
,Gm21476,Rps4x
,Gm21477,Dmrtc1a
,Gm21488,4930519F16Rik
,Gm21489,Cdx4
,Gm21497,Chic1
,Gm21506,Flna
,Gm21518,Tsx
,Gm21524,Zcchc13
,Gm21529,Abcb7
,Gm21530,Mtm1
,Gm21539,Gabre
,Gm21562,Gpm6b
,Gm21572,Gabra3
,Gm21573,Gabrq
,Gm21577,Cetn2
,Gm21588,Nsdhl
,Gm21599,Zfp185
,Gm21617,Hccs
,Gm21626,Rbbp7
,Gm21627,Amelx
,Gm21633,Arhgap6
,Gm21634,Syap1
,Gm21638,Msl3
,Gm21642,Ctps2
,Gm21647,Xlr4c
,Gm21650,Grpr
,Gm21654,Zfp275
,Gm21658,Ap1s2
,Gm21660,Zrsr2
,Gm21661,Haus7
,Gm21672,Trex2
,Gm21677,Car5b
,Gm21678,Zfp92
,Gm21679,Bgn
,Gm21683,Atp2b3
,Gm21693,Bmx
,Gm21704,Abcd1
,Gm21708,Pir
,Gm21715,Vegfd
,Gm21717,Piga
,Gm21719,Asb11
,Gm21720,Dusp9
,Gm21721,Asb9
,Gm21722,Plxnb3
,Gm21723,Hcfc1
,Gm21724,Renbp
,Gm21725,Naa10
,Gm21728,Arhgap4
,Gm21729,Avpr2
,Gm21733,L1cam
,Gm21734,Irak1
,Gm21735,Mecp2
,Gm21736,Opn1mw
,Gm21737,Tktl1
,Gm21739,Plxna3
,Gm21740,Fam3a
,Gm21741,G6pdx
,Gm21742,Mpp1
,Gm21744,Dkc1
,Gm21745,Tceal6
,Gm21746,Nxf7
,Gm21748,Pramex1
,Gm21749,Morf4l2
,Gm21751,Kir3dl1
,Gm21752,Plp1
,Gm21753,Zcchc18
,Gm21755,Psmd10
,Gm21756,Vsig1
,Gm21757,Tsc22d3
,Gm21758,Prps1
,Gm21760,Rbm41
,Gm21763,Morc4
,Gm21764,Rnf128
,Gm21765,Gab3
,Gm21766,Slc10a3
,Gm21767,1700031F05Rik
,Gm21768,Magea4
,Gm21771,Prrg3
,Gm21773,Armcx2
,Gm21774,Armcx1
,Gm21775,Tmem35a
,Gm21776,Fndc3c1
,Gm21777,Tlr13
,Gm21778,Atp7a
,Gm21779,Zdhhc15
,Gm21780,Slc16a2
,Gm21782,Phka1
,Gm21783,Ogt
,Gm21784,Kif4
,Gm21785,Pja1
,Gm21787,Eda2r
,Gm21788,Diaph2
,Gm21790,Hdx
,Gm21791,Tex16
,Gm21792,Pof1b
,Gm21794,Pabpc5
,Gm21795,Pcdh11x
,Gm21796,Zc3h12b
,Gm21797,Zc4h2
,Gm21799,Eif2s3x
,Gm21800,Pdk3
,Gm21801,Pcyt1b
,Gm21802,Arx
,Gm21803,Mid1
,Gm21804,Ssx9
,Gm21805,4930415L06Rik
,Gm21806,Dcaf8l
,Gm21808,Mageb4
,Gm21809,Samt3
,Gm21810,Tab3
,Gm21812,Fthl17a
,Gm21813,Tsga8
,Gm21815,4930480E11Rik
,Gm21819,Prkx
,Gm21820,Cd99l2
,Gm21821,Ids
,Gm21822,Ints6l
,Gm21823,Fam122c
,Gm21824,Fam122b
,Gm21825,Mbnl3
,Gm21826,Frmd7
,Gm21828,Arhgap36
,Gm21829,Gpr101
,Gm21832,Tmem255a
,Gm21835,Rnf113a1
,Gm21837,Akap14
,Gm21838,Upf3b
,Gm21840,Zcchc12
,Gm21841,Wdr44
,Gm21842,Klhl13
,Gm21843,Slitrk2
,Gm21845,Zfp280c
,Gm21848,Aifm1
,Gm21849,Bcorl1
,Gm21851,Zdhhc9
,Gm21853,Xpnpep2
,Gm21854,Apln
,Gm21855,Prr32
,Gm21856,Spaca5
,Gm21858,Syn1
,Gm21860,Jade3
,Gm21861,Slc9a7
,Gm21862,Chst7
,Gm21864,Dipk2b
,Gm21865,Kdm6a
,Gm21866,Thoc2
,Gm21867,Slc25a43
,Gm21868,Txlng
,Gm21869,Tbc1d25
,Gm21871,Suv39h1
,Gm21872,Pcsk1n
,Gm21873,Wdr45
,Gm21874,Foxp3
,Gm21875,Flicr
,Gm21877,Ppp1r3f
,Gm21878,Ndp
,Gm21879,Maob
,Gm21880,Gpr34
,Gm21881,Bcor
,Gm21882,H2ap
,Gm21889,Tlr8
,Gm21890,Ofd1
,Gm21891,Gemin8
,Gm21892,Siah1b
,Gm21894,S100g
,Gm21895,Reps2
,Gm21896,Sh3kbp1
,Gm21898,Map7d2
,Gm21899,Tspyl2
,Gm21900,Iqsec2
,Gm21901,Smc1a
,Gm21902,Phf8
,Gm21904,Wnk3
,Gm21906,Tmem29
,Gm21907,Htr2c
,Gm21908,Smpx
,Gm21910,Ptchd1
,Gm21912,Kctd12b
,Gm21913,Klf8
,Gm21914,Rragb
,Gm21916,Amot
,Gm21918,Lhfpl1
,Gm21919,Trpc5
,Gm21920,Alg13
,Gm21921,Ammecr1
,Gm21922,Nxt2
,Gm21923,Gucy2f
,Gm21924,Tex13b
,Gm21943,Frmpd3
,Gm21996,Dnaaf6b
,Gm2316,Tbc1d8b
,Gm2325,Radx
,Gm25565,Pwwp3b
,Gm28057,4933428M09Rik
,Gm28072,Fam199x
,Gm28073,Tceal9
,Gm28074,Bex2
,Gm28079,Foxo4
,Gm28080,Gm16373
,Gm28081,Gprasp1
,Gm28082,Magea10
,Gm28088,Rab9b
,Gm28089,Rai2
,Gm28090,Fam90a1b
,Gm28091,Cldn34c4
,Gm28092,Gm9785
,Gm28093,Olfr1326-ps1
,Gm28097,Klhl15
,Gm28098,5430402E10Rik
,Gm28099,1810030O07Rik
,Gm28101,Nkrf
,Gm28102,Bclaf3
,Gm28103,Vsig4
,Gm28104,Slc25a53
,Gm28105,P2ry4
,Gm28106,Sowahd
,Gm28107,Tceal3
,Gm28108,Tlr7
,Gm28109,Mycs
,Gm28110,Gm4779
,Gm28120,Dmd
,Gm28121,Sox3
,Gm28122,Shroom2
,Gm28123,Ppp1r2-ps9
,Gm28124,Eola1
,Gm28125,Dcaf12l1
,Gm28126,Magec2
,Gm28127,Hnrnph2
,Gm28128,Gm4997
,Gm28129,4930402K13Rik
,Gm28130,Hsf3
,Gm28131,Snx12
,Gm28132,Magea13
,Gm28133,Usp27x
,Gm28134,Pnma3
,Gm28135,Bex3
,Gm28136,Nexmif
,Gm28137,Ar
,Gm28138,Spin2c
,Gm28141,Actrt1
,Gm28142,Slitrk4
,Gm28143,8030474K03Rik
,Gm28144,Mbtps2
,Gm28145,Mageb16
,Gm28146,Gm5637
,Gm28147,Tmem164
,Gm28148,Ube2dnl2
,Gm28149,Cldn2
,Gm28150,Mageh1
,Gm28152,Taf9b
,Gm28157,Lancl3
,Gm28158,Klhl34
,Gm28159,Gpr82
,Gm28160,Rtl3
,Gm28161,Yipf6
,Gm28162,Fancb
,Gm28165,Gjb1
,Gm28170,Bex4
,Gm28171,Prrg1
,Gm28173,Timm8a1
,Gm28174,Arxes2
,Gm28176,Zbtb33
,Gm28179,H2bw2
,Gm28185,Olfr1324
,Gm28186,Arxes1
,Gm28191,Cypt3
,Gm28193,Gm5946
,Gm28194,Gm5763
,Gm28197,Gm6377
,Gm28200,Gm8666
,Gm28201,Gm6206
,Gm28202,C1galt1c1
,Gm28203,H2al3
,Gm28204,Armcx3
,Gm28205,Frmpd4
,Gm28206,Rtl5
,Gm28207,Tceal1
,Gm28208,Tmsb4x
,Gm28210,Armcx4
,Gm28211,4921511C20Rik
,Gm28212,Lpar4
,Gm28213,Rap2c
,Gm28216,Bex1
,Gm28217,Akap4
,Gm28218,Ubqln2
,Gm28219,Rhox13
,Gm28220,Cxcr3
,Gm28222,Amer1
,Gm28223,Septin6
,Gm28224,Armcx6
,Gm28225,Pnma5
,Gm28226,Ube2dnl1
,Gm28227,Olfr1323
,Gm28232,Gm7327
,Gm28233,P2ry10
,Gm28234,Dcaf12l2
,Gm28235,Rhox11
,Gm28236,Cited1
,Gm28238,Gpr119
,Gm28241,Ercc6l
,Gm28242,Tceanc
,Gm28243,Nyx
,Gm28244,Trap1a
,Gm28245,Pcdh19
,Gm28246,6030498E09Rik
,Gm28247,Gm5124
,Gm28248,Tceal8
,Gm28249,Otud6a
,Gm28250,Ccnb3
,Gm28251,Olfr1325
,Gm28252,Rhox2a
,Gm28253,Rtl8c
,Gm28254,Ppp1r2-ps7
,Gm28255,Gm650
,Gm28259,B630019K06Rik
,Gm28260,Il1rapl1
,Gm28261,Arl13a
,Gm28264,Zmat1
,Gm28270,Cysltr1
,Gm28272,Nrk
,Gm28273,Fate1
,Gm28274,Adgrg4
,Gm28275,Rhox10
,Gm28276,Tceal5
,Gm28278,P2ry10b
,Gm28279,Sytl5
,Gm28280,Xlr
,Gm28284,Irs4
,Gm28290,1700013H16Rik
,Gm28291,Zfp182
,Gm28292,Smim10l2a
,Gm28293,AV320801
,Gm28295,Gm15155
,Gm28296,A630012P03Rik
,Gm28297,Rbm3os
,Gm28298,4933400A11Rik
,Gm28300,Ct55
,Gm28301,Gpc3
,Gm28302,Gja6
,Gm28303,4933401B06Rik
,Gm28304,Nap1l3
,Gm28310,Magea2
,Gm28311,Usp26
,Gm28312,Olfr1322
,Gm28313,Gpr50
,Gm28314,Rlim
,Gm28315,Gpr173
,Gm28316,Gm6812
,Gm28317,Pou3f4
,Gm28318,Nxf3
,Gm28325,Cldn34b2
,Gm28326,Las1l
,Gm28327,Kir3dl2
,Gm28328,Phex
,Gm28329,Ldoc1
,Gm28330,1700084M14Rik
,Gm28331,Xlr3a
,Gm28332,Xlr3c
,Gm28333,Tcp11x2
,Gm28334,Tspan7
,Gm28335,Xlr5a
,Gm28336,Dmtf1l
,Gm28337,Gm2174
,Gm28338,Il1rapl2
